author,relicTime,type,material,museum,location,SimpleTime
 Chinese , Qing dynasty ,null," silk damask, embroidered with silk threads ",imamuseum,United States
"  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)  ", Edo ,null," ink on paper, color woodblock print ",imamuseum,United States
"  Utagawa Hiroshige 歌川広重 (Japanese, 1797-1858)  ", Edo ,null," ink on paper, color woodblock print ",imamuseum,United States
 Japanese , 1701-1800 ,null," stoneware with enamels, Kyoto ware ",imamuseum,United States
"  William Merritt Chase (American, 1849-1916)  ", about 1914 ,null, oil on canvas ,imamuseum,United States
 Chinese , Qing dynasty ,null," silk, embroidered with silk and metallic threads ",imamuseum,United States
 Chinese , Qing dynasty ,null, silk ,imamuseum,United States
 Iznik , 17th-18th centuries ,null, earthenware with underglaze paint ,imamuseum,United States
 Japanese , Momoyama ,null, painted buff stoneware with lacquer repairs ,imamuseum,United States
"  Wang Jian (Chinese, 1598-1677)  ", Qing dynasty ,null," ink, color on gilt paper ",imamuseum,United States
  Unknown  , Pala ,null, chlorite ,imamuseum,United States
"  Angela Verdon (English, 1949-)  ", 1983 ,null, bone china ,imamuseum,United States
"  Angela Verdon (English, 1949-)  ", 1983 ,null, bone china ,imamuseum,United States
China, about 1920 ,null, color lithograph ,imamuseum,United States
 Chinese , Jin dynasty ,null, stoneware with brown glaze ,imamuseum,United States
 Chinese , Tang dynasty ,null, earthenware with three color glaze ,imamuseum,United States
 Chinese , Ming dynasty ,null, porcelain with underglaze blue decoration ,imamuseum,United States
 Chinese , Tang dynasty ,null, glazed earthenware ,imamuseum,United States
 Chinese , Tang dynasty ,null, glazed earthenware ,imamuseum,United States
"  Bill Blass (American, 1922-2002)  ", early 1980s ,null," silk, mother -of- pearl ",imamuseum,United States
"  Shi Zhen (Chinese, 1875-1946)  ", Modern {Chinese period} ,null, ink and color on paper ,imamuseum,United States
 Chinese , Eastern Han dynasty ,null, earthenware with glaze ,imamuseum,United States
 Chinese , Eastern Zhou dynasty ,null, stoneware with glaze ,imamuseum,United States
 Chinese , Southern Song dynasty ,null, stoneware with shadow blue (qingbai) glaze ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
"  Thomas Allom (English, 1804-1872)  ", about 1858 ,null, letterpress and steel engraving on paper ,imamuseum,United States
  Unknown  , Western Jin dynasty ,null, stoneware with green glaze ,imamuseum,United States
"  Song Wenzhi (Chinese, 1919-1999)  ", Modern {Chinese period} ,null, ink and color on paper ,imamuseum,United States
"  Félix Bracquemond (French, 1833-1914)  ", designed 1866-1867 ,null," earthenware, polychrome enamels ",imamuseum,United States
"  Halston (American, 1932-1990)  ", late 1970s ,null," cotton velvet, fur ",imamuseum,United States
"  Halston (American, 1932-1990)  ", about 1980 ,null," silk crepe, bugle beads, silk satin, china silk ",imamuseum,United States
"  Dokuryū (Japanese, 1596-1672)  ", Edo ,null, ink on paper ,imamuseum,United States
"  Mainbocher (American, 1890-1976)  ", 1960-1965 ,null," silk surah (twill), china silk ",imamuseum,United States
 Chinese , Tang dynasty ,null, Glazed Stone ,imamuseum,United States
 Chinese , Tang dynasty ,null, stoneware with olive glaze and design in underglaze brown ,imamuseum,United States
  Unknown  , Tang dynasty ,null, Yellow-green Glazed Stoneware ,imamuseum,United States
 Chinese , Eastern Han dynasty ,null, earthenware with lead glaze ,imamuseum,United States
  Chen Yi (Chinese)  , Ming dynasty ,null, ink and color on silk ,imamuseum,United States
  Meissen Porcelain Manufactory (German)  , 1730-1735 ,null," hard paste porcelain, polychrome enamels, gilding ",imamuseum,United States
  Attributed to Yan Hui  , Yuan dynasty ,null, ink and color on silk ,imamuseum,United States
"  Henry van de Velde (Belgian, 1863-1957)  ", about 1903-1904 ,null," hard-paste porcelain, underglaze blue decoration ",imamuseum,United States
 Chinese , Five dynasties ,null, white glaze (Changsha ware) ,imamuseum,United States
 Chinese , Tang dynasty ,null, Stoneware (changsha Ware) ,imamuseum,United States
 Chinese , Tang dynasty ,null, Stoneware (changsha Ware) ,imamuseum,United States
 Chinese , Tang dynasty ,null," stoneware with glaze, Changsha ware ",imamuseum,United States
"  Seong Moy (American, born China, 1921-2013)  ",null,null, color woodblock print ,imamuseum,United States
"  Lois Conner (American, 1951-)  ", 1984 ,null, platinum print ,imamuseum,United States
"  Daisy Makeig-Jones (British, 1881-1945)  ", about 1925 ,null, bone china ,imamuseum,United States
"  Seong Moy (American, born China, 1921-2013)  ", 1951 ,null, color woodblock print ,imamuseum,United States
"  Seong Moy (American, born China, 1921-2013)  ", 1952 ,null, color woodblock print ,imamuseum,United States
"  Garo Zareh Antreasian (American, 1922-2018)  ", 1987 ,null, lithograph on china paper chine collé to Arches 88 paper ,imamuseum,United States
 Chinese , Western Zhou dynasty ,null, bronze ,imamuseum,United States
 Chinese , Northern Wei dynasty ,null, limestone with paint ,imamuseum,United States
 Chinese , 1993 ,null, Yixing Stoneware ,imamuseum,United States
 Chinese , 1993 ,null, Yixing Stoneware ,imamuseum,United States
